8 EIXOS DE TECNOLOGIA E ECONOMIA CRIATIVA																
DIRETORIA DE EDUCAÇÃO PROFISSIONAL - DEP 																
COORDENAÇÃO PEDAGÓGICA - CPED																
PORTFÓLIO 2026																
PORTFÓLIO  DE CURSOS SENAC DF: TI 																
Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Valores	Observações / Orientações	UNIDADE QUE PODE SER RODADO	Compatível com bolsa	Comercial*	PCN	PCR
Tecnologia e Games	Presencial 	Programador Web 	240h	2687	86172	2020	QUALIFICAÇÃO	2025	2023.000001166-84	2025 | R$1119,99	OK	TODAS AS UNIDADES	Sim			
Tecnologia e Games	Presencial 	Proteção de dados em segurança de redes de computadores	36h	Não informado	35895	2019	APERFEIÇOAMENTO	2024	2024.000004273-36	2025 | R$199,9	OK	TODAS AS UNIDADES EXCETO OS POLOS	Sim			
Tecnologia e Games	Presencial 	Técnicas Avançadas de Word, Excel e Powerpoint	60h	1746.9	66313	2023	APERFEIÇOAMENTO	2025	2023.000001155-21	2025 | R$399	OK	TODAS AS UNIDADES	Sim			
Tecnologia e Games	Presencial 	Técnico em Ciências de Dados	1000h	128588	"	137113"	2025	HABILITAÇÃO TÉCNICA	2025	2025.000000385-17	2025 | R$5228	OK	"RESOLUÇÃO SENAC AR/DF 1622/2025
CEP TALAL ABU-ALLAN, JOAQUIM LOIOLA, JESSÉ FREIRE, SOBRADINHO E JÓ RUFINO E CARLOS AGUIAR
POLO BRAZLÂNDIA, SANTA MARIA E SÃO SEBASTIÃO"	Sim			
Tecnologia e Games	Presencial 	Técnico em Computação Gráfica	1000h	2654	40393	2019	HABILITAÇÃO TÉCNICA	2025	2023.000001323-70	2025 | R$5215	OK	TODAS AS UNIDADES EXCETO OS POLOS	Sim			
Tecnologia e Games	Presencial 	Técnico em Desenvolvimento de Sistemas	1200h	1730	102655	2021	HABILITAÇÃO TÉCNICA	2025	2023.000002099-33	2025 | R$6600	OK	TODAS AS UNIDADES EXCETO OS POLOS	Sim			
Tecnologia e Games	Presencial 	Técnico em Informática	1200h	3186	68214	2025	HABILITAÇÃO TÉCNICA	2025	2023.000001328-84	2025 | R$5725	OK	JESSÉ FREIRE	Sim			
Tecnologia e Games	Presencial 	Técnico em Informática para Internet 	1000h	2691	122097	2020	HABILITAÇÃO TÉCNICA	2025	2024.000005164-36	2025 | R$5470	OK	"RESOLUÇÃO SENAC AR/DF 1620/2025
CEP JESSÉ FREIRE, SOBRADINHO E JÓ RUFINO E CARLOS AGUIAR
POLO BRAZLÂNDIA"	Sim			
Tecnologia e Games	Presencial 	Técnico em Inteligência Artificial	1200h	3078	128421	2024	HABILITAÇÃO TÉCNICA	2025	2025.000000892-60	2025 | R$6232	OK	JESSÉ FREIRE	Sim			
Tecnologia e Games	Presencial 	Técnico em Programação de Jogos Digitais	1000h	2645	92043	2020	HABILITAÇÃO TÉCNICA	2025	2023.000001329-65	2025 | R$5482	OK	JESSÉ FREIRE E TAGUATINGA	Sim			
