N°	SEI	SIG	Títulos Retificativos PCA 2025 - CPED	CH	Precificação	Valor 1º Módulo	N° Parcelas - Boleto	Valor Parcela - Boleto	N° Parcelas - Cartão	Valor - Cartão	Parcela com 15%	Parcelas 20%		
41	2025.000000843-81	127865	Estratégias de Captação de Recursos para Projetos Culturais 	28	R$ 220,00	 - 	1	R$ 220,00	4	R$ 55,00	R$ 46,75	R$ 44,00		
42	SEM N° SEI	66400	Excel com Vba e Dasboard	60	R$ 667,00	 - 	1	R$ 667,00	12	R$ 55,58	R$ 47,25	R$ 44,47		
43	2023.000001885-96	68188	Faturamento de Serviços de Saúde 	96	R$ 536,00	 - 	2	R$ 268,00	10	R$ 53,60	R$ 45,56	R$ 42,88		
44	2024.000003094-81	122258	Ferramentas de Inovação e Modelos de Negócio 	60	R$ 259,00	 - 	1	R$ 259,00	5	R$ 51,80	R$ 44,03	R$ 41,44		
45	2023.000001455-10	2453 	Garçom	240	R$ 2.365,99	 - 	4	R$ 591,50	12	R$ 197,17	R$ 167,59	R$ 157,73		
46	2024.000005109-18	124799	Frentista	160	R$ 1.030,00	 - 	2	R$ 515,00	12	R$ 85,83	R$ 72,96	R$ 68,67		
47	2024.000003896-55	119591	Gestão de pequenos negócios em comércio e serviços 	100	R$ 452,00	 - 	2	R$ 226,00	9	R$ 50,22	R$ 42,69	R$ 40,18		
48	2023.000001951-18	85459	Gestão de Redes Sociais e Criação de Conteúdo Digital	80	R$ 574,99	 - 	1	R$ 574,99	11	R$ 52,27	R$ 44,43	R$ 41,82		
49	2023.000002188-43	108909	Informática Windows e Office Fundamental	100	R$ 501,99	 - 	2	R$ 251,00	10	R$ 50,20	R$ 42,67	R$ 40,16		
50	2025.000001173-10	128520	Inteligência Artificial - Como Fazer a Pergunta Correta 	20	R$ 150,00	 - 	1	R$ 150,00	3	R$ 50,00	R$ 42,50	R$ 40,00		
51	2023.000001761-56	61788	Lógica de Programação	60	R$ 450,00	 - 	1	R$ 450,00	9	R$ 50,00	R$ 42,50	R$ 40,00		
52	2023.000001233-89	67555	Manicure e Pedicure	160	R$ 1.759,99	 - 	2	R$ 880,00	12	R$ 146,67	R$ 124,67	R$ 117,33		
53	2023.000000202-29	67549	Maquiador 	160	R$ 1.769,99	 - 	2	R$ 885,00	12	R$ 147,50	R$ 125,37	R$ 118,00		
54	2023.000001366-18	110516	Maquiagem Profissional Avançada 	60	R$ 785,99	 - 	1	R$ 785,99	12	R$ 65,50	R$ 55,67	R$ 52,40		
55	2023.000001475-63	111000	Microblading Fio a Fio	60	R$ 899,00	 - 	1	R$ 899,00	12	R$ 74,92	R$ 63,68	R$ 59,93		
56	2023.000001556-63	111001	Micropigmentação	80	R$ 1.195,00	 - 	1	R$ 1.195,00	12	R$ 99,58	R$ 84,65	R$ 79,67		
57	2023.000001320-27	 66344	Microsoft Power Bi - Avançado 	20	R$ 378,00	 - 	1	R$ 378,00	7	R$ 54,00	R$ 45,90	R$ 43,20		
58	2023.000001319-93	68064	Microsoft Power Bi - Básico 	20	R$ 370,00	 - 	1	R$ 370,00	7	R$ 52,86	R$ 44,93	R$ 42,29		
59	2023.000001646-54	111002	Moda Pet 	40	R$ 890,00	 - 	1	R$ 890,00	12	R$ 74,17	R$ 63,04	R$ 59,33		
60	2024.000001347-46	111658	Modelagem de Alfaiataria Feminina 	100	R$ 1.209,00	 - 	2	R$ 604,50	12	R$ 100,75	R$ 85,64	R$ 80,60		
61	2024.000001537-08	113796	Modelagem para Corset 	80	R$ 1.036,99	 - 	1	R$ 1.036,99	12	R$ 86,42	R$ 73,45	R$ 69,13		
62	2023.000000193-01	70599	Modelista 	210	R$ 1.711,99	 - 	4	R$ 428,00	12	R$ 142,67	R$ 121,27	R$ 114,13		
63			Oratória Experience - Comunique-Se com Alta Performance	42	R$ 250,00	 - 	1	R$ 250,00	5	R$ 50,00	R$ 42,50	R$ 40,00		
64	2023.000000201-48	121890	Organizador de Eventos	180	R$ 1.209,99	 - 	4	R$ 302,50	12	R$ 100,83	R$ 85,71	R$ 80,67		
65	2023.000001920-11	69994	Padeiro 	240	R$ 2.969,99	 - 	4	R$ 742,50	12	R$ 247,50	R$ 210,37	R$ 198,00		
66	2023.000001916-27	69851	Pizzaiolo 	160	R$ 1.632,99	 - 	2	R$ 816,50	12	R$ 136,08	R$ 115,67	R$ 108,87		
67	2024.000004271-74	91524 	Planejar e Implementar a Segurança Física e Lógica em Redes de Computadores 	72	R$ 350,00	 - 	1	R$ 350,00	7	R$ 50,00	R$ 42,50	R$ 40,00		
68	2024.000005492-88	31026	Porteiro e Vigia 	160	R$ 708,00	 - 	2	R$ 354,00	12	R$ 59,00	R$ 50,15	R$ 47,20		
69	2024.000003718-70	120219	Práticas de Trabalho do Cabeleireiro 	100	R$ 960,00	 - 	2	R$ 480,00	12	R$ 80,00	R$ 68,00	R$ 64,00		
70	2023.000001331-80	105169	Programador de Sistemas 	200	R$ 1.159,99	 - 	4	R$ 290,00	12	R$ 96,67	R$ 82,17	R$ 77,33		
71	2023.000001166-84	86172	Programador Web 	240	R$ 1.119,99	 - 	4	R$ 280,00	12	R$ 93,33	R$ 79,33	R$ 74,67		
72	2024.000004678-00	1559	Recepcionista 	160	R$ 679,99	 - 	2	R$ 340,00	12	R$ 56,67	R$ 48,17	R$ 45,33		
73	2023.000001332-61	1297	Recepcionista de Eventos 	160	R$ 1.406,65	 - 	2	R$ 703,33	12	R$ 117,22	R$ 99,64	R$ 93,78		
74	2023.000000434-31	121900	Recepcionista em Meios de Hospedagem 	160	R$ 999,00	 - 	2	R$ 499,50	12	R$ 83,25	R$ 70,76	R$ 66,60		
75	2023.000001893-04	81531	Recepcionista em Serviços de Saúde	240	R$ 1.349,00	 - 	4	R$ 337,25	12	R$ 112,42	R$ 95,55	R$ 89,93		
76	2023.000002062-41	65959	Recrutamento e Seleção de Pessoas	40	R$ 196,00	 - 	1	R$ 196,00	3	R$ 65,33	R$ 55,53	R$ 52,27		
77	2023.000002001-20	69824	Salgadeiro	160	R$ 1.944,99	 - 	2	R$ 972,50	12	R$ 162,08	R$ 137,77	R$ 129,67		
78	2023.000001447-18	66575	Sommelier de Cachaça 	100	R$ 1.368,00	 - 	2	R$ 684,00	12	R$ 114,00	R$ 96,90	R$ 91,20		
79	2023.000001185-47	66274	Sommelier de Vinho	144	R$ 2.419,00	 - 	2	R$ 1.209,50	12	R$ 201,58	R$ 171,35	R$ 161,27		
80	2023.000001914-65	128625	Sushiman	160	R$ 2.335,00	 - 	2	R$ 1.167,50	12	R$ 194,58	R$ 165,40	R$ 155,67		
81	2023.000001155-21	66313	Técnicas Avançadas de Word, Excel e Powerpoint 	60	R$ 399,00	 - 	1	R$ 399,00	8	R$ 49,88	R$ 42,39	R$ 39,90		
82	2024.000002730-11	115510 	Técnicas de Barbeiro 	80	R$ 649,00	 - 	1	R$ 649,00	12	R$ 54,08	R$ 45,97	R$ 43,27		 
83	2023.000001137-40	105.322	Técnicas de Confeitaria 	60	R$ 988,99	 - 	1	R$ 988,99	12	R$ 82,42	R$ 70,05	R$ 65,93		
84	2024.000003090-58	122272	Técnicas de Liderança 	40	R$ 188,00	 - 	1	R$ 188,00	3	R$ 62,67	R$ 53,27	R$ 50,13		
85	2023.000002000-49	110530	Técnicas de Petiscos e Comida de Boteco 	40	R$ 487,00	 - 	1	R$ 487,00	9	R$ 54,11	R$ 45,99	R$ 43,29		
86	2023.000001193-57	110531	Técnicas de Produção de Biscoitos Finos e Artesanais 	40	R$ 565,00	 - 	1	R$ 565,00	11	R$ 51,36	R$ 43,66	R$ 41,09		
87	2024.000003099-96	122283	Técnicas de Rapport 	60	R$ 369,00	 - 	1	R$ 369,00	7	R$ 52,71	R$ 44,81	R$ 42,17		
88	2023.000001107-24	122329	Técnico em Administração 	800.	R$ 3.850,00	 - 	-	#VALOR!	-	#VALOR!	#VALOR!	#VALOR!		
89	2023.000000284-75	111021	Técnicas para Pizzaiolo	40	R$ 549,00	 - 	1	R$ 549,00	10	R$ 54,90	R$ 46,67	R$ 43,92		
90	2025.000000385-17	128588	Técnico em Ciência de Dados 	1000	R$ 5.228,00	 R$ 1.879,20 	4	469,8	12	156,6	-	-		
91	2023.000001151-06	121894	Técnico em Contabilidade 	800	R$ 4.770,00	 R$ 2.133,68 	4	R$ 533,42	12	 R$ 177,81	-	-		
92	2023.000002099-33	122399	Técnico em Desenvolvimento de Sistemas 	1200	R$ 6.235,00	  R$ 1.785,36 	-	-	-	-	-	-		
