SEGMENTO	 	TIPO	NÚMERO SEI	CÓDIGO SIG	MÊS DE ENTREGA	STATUS	ORIGEM	OBSERVAÇÃO	STATUS	
Gastronomia	Preparo de alimentos sem lactose	APERFEIÇOAMENTO	2025.000000807-18		Fevereiro	PUBLICADO	Plano de Metas	Retificativo plano de metas	PRECIFICADO (FALTA ASSINATURA DA MARI NO PARECER)	
Gastronomia	Preparo de Drinks com café	APERFEIÇOAMENTO	2025.000000908-61		Fevereiro	PUBLICADO	Plano de Metas	Retificativo plano de metas	Por orientação do Comercial, o curso passou por ajuste de nome e será retomado a Precificação. Aguardando o término disso, para Parecer de Precificação e assinaturas da Diretoria no Plano de Curso. 	
Beleza e Cuidado Pessoal	Produção de Noivas: Maquiagens e Penteados	PROGRAMA SOCIOPROFISSIONAL	2025.000000387-89		Março	CPED - Ajuste lista básica	Plano de Metas	Retificativo plano de metas	PUBLICADO	
Design	Projetista de Móveis	QUALIFICAÇAO	2025.000000623-11		Fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	entregue em fevereiro	PUBLICADO	
Gastronomia	Preparo de gelados comestíveis: sorvetes e sorbets	APERFEIÇOAMENTO	2025.000000980-99		Fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	Em Processo de Elaboração	PUBLICADO	
Design	Projeto Paisagismo Residencial e Institucional (60h) 	APERFEIÇOAMENTO	2025.000000663-08		Março	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	entregue em março/Retificativo do plano de metas	PUBLICADO	
Tecnologia e Games	Python I – fundamentos	APERFEIÇOAMENTO	2025.000000082-86		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PRECIFICADO (Falta assinatura do instrutor no Parecer)	
Ambiente e Saúde	Qualidade no Serviço em Atendimento em Saúde		2025.000001956-12		Julho	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E NO SIG COMO RASCUNHO	Comercial		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Tecnologia e Games	Python II - desenvolvendo aplicações web	APERFEIÇOAMENTO	2025.000000090-96		Maio	PUBLICADO	Plano de Metas		CPED - pronto. Falta assinatura da Mari no Parecer. E assinatura da Diretoria no Plano de Curso. 	
Comércio	Qualificação Operador de Caixa	QUALIFICAÇÃO	2025.000000536-64		Fevereiro	PUBLICADO	Plano de Metas	entregue em fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Ambiente e Saúde	Quick Massage	APERFEIÇOAMENTO	2025.000001856-50	em criação	Julho	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Comercial		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Comércio	Qualificação Vendedor	QUALIFICAÇÃO	2025.000000469-60		Fevereiro	PUBLICADO	Plano de Metas	entregue em fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
SEGURANÇA	Segurança em foco: NR 1 Descomplicada	AÇÃO EXTENSIVA	2025.000001484-52		JUNHO	PRECIFICADO (FALTA ASSINATURA DA MARI NO PARECER)	COMERCIAL		CPED - Fazer Parecer de Precificação e atualizar assinaturas no Plano de Curso e colocar para as assinaturas da Diretoria. 	
Gestão e Negócios	Simples nacional na prática	APERFEIÇOAMENTO	2024.000005596-74		Fevereiro	PUBLICADO/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO	
Ambiente e Saúde	Tratamento de Feridas e Curativos	APERFEIÇOAMENTO	2025.000000794-69	-	Março	PRECIFICADO (FALTA ASSINATURA DA DIREG NO PLANO DE CURSO/MARI E INSTRUTOR NO PARECER)	Plano de Metas		PUBLICADO NO INTRANET/ESTÁ COMO RASCUNHO NO SIG	
Ambiente e Saúde	Simulação Realística: Diretrizes para o suporte básico de vida	APERFEIÇOAMENTO	2025.000000934-53	-	Março	PUBLICADO	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Sustentabilidade Aplicada a Cozinha	APERFEIÇOAMENTO	2024.000005018-38		Janeiro	PUBLICADO	Plano de Metas	Precificado. disponibilizar no MD		
Tecnologia e Games	Tec. em Ciências de Dados	HABILITAÇÃO TÉCNICA	2025.000000385-17		Março	PUBLICADO	Retificativo Plano de metas	Retificativo Plano de metas	PUBLICADO	
Beleza e Cuidado Pessoal	Téc. em Imagem Pessoal 	HABILITAÇÃO TÉCNICA	2025.000000004-63		Fevereiro	PUBLICADO	Plano de Metas	Previsto Março, entregue Fevereiro	PUBLICADO	
Tecnologia e Games	Técnico em Informática para Internet 	HABILITAÇÃO TÉCNICA	2024.000005164-36		Fevereiro	PUBLICADO	Retificativo Plano de metas	Retificativo Plano de metas/precificado	CPED	
Tecnologia e Games	Tec. Em Inteligência Artificial	HABILITAÇÃO TÉCNICA	2025.000000892-60		Março	PUBLICADO	Retificativo Plano de metas	Retificativo Plano de metas	ARQUIVADO	
Tecnologia e Games	Tec. em Segurança Cibernética	HABILITAÇÃO TÉCNICA	2024.000005157-15		Março	PUBLICADO	Retificativo Plano de metas	Retificativo Plano de metas	PUBLICADO	
Moda e Costura	Téc. Estilismo e Coordenação de Moda	HABILITAÇÃO TÉCNICA	2025.000000095-09	128524	Fevereiro	PRECIFICADO (Falta assinatura do instrutor no Parecer)	Plano de Metas	Previsto Março, entregue Fevereiro	CPED - Falta Parecer de Precificação e assinatura da Diretoria no Plano de Curso. 	
Beleza e Cuidado Pessoal	Técnicas Básicas de Maquiagem	PROGRAMA SOCIOPROFISSIONAL	2025.000001196-06		Retificativo plano de metas	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Comercial	Retificativo plano de metas - SEAPE	CPED - AJUSTES NA LISTA BÁSICA	
Gastronomia	Técnicas Básicas Para Pizzaiolo	APERFEIÇOAMENTO	2025.000001080-78		Fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	Subindo documentos		
Design	Técnicas Complementares de Jardinagem	APERFEIÇOAMENTO	2025.000000628-17		Fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	entregue/Retificativo do plano de metas		
Gestão e Negócios	Técnicas de Atendimento e Recepção	APERFEIÇOAMENTO	2024.000005595-93		Fevereiro	PUBLICADO	Plano de Metas			
Gastronomia	Técnicas de Churrasco	APERFEIÇOAMENTO	2024.000003077-81		Janeiro	PUBLICADO	Plano de Metas	Retificativo plano de metas		
Beleza e Cuidado Pessoal	Técnicas Básicas de Manicure e Pedicure	PROGRAMA SOCIOPROFISSIONAL	2025.000001197-89		Retificativo plano de metas	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE		Retificativo plano de metas - SEAPE		
Ambiente e Saúde	Técnicas e Protocolos Capilar 	APERFEIÇOAMENTO	2025.000000878-10		Março	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas			
Turismo	Técnico em Guia de Turismo	HABILITAÇÃO TÉCNICA	2025.000000626-55		Março	PUBLICADO	Plano de Metas	entregue em fevereiro/Retificativo do plano de metas		
Tecnologia e Games	Técnico em Informática para Internet 	HABILITAÇÃO TÉCNICA	2024.000005164-36	122097	-	PUBLICADO	 Retificativo de metas	 Retificativo de metas		
Gestão e Negócios	Técnico em Marketing	HABILITAÇÃO TÉCNICA	2024.000005475-87	126231	Dezembro	PUBLICADO	Plano de Metas	Adiantados		
Ambiente e Saúde	Técnico em Meio Ambiente	HABILITAÇÃO TÉCNICA	2024.000004827-87	45536	2024	PUBLICADO	Plano de Metas	Finalizado		
Gestão e Negócios	Técnico em Qualidade	HABILITAÇÃO TÉCNICA	2024.000005489-82	126221	Fevereiro	PUBLICADO	Plano de Metas			
Comércio	Técnico em Transações Imobiliárias (800h)	HABILITAÇÃO TÉCNICA	2024.000005092-27		novembro	PUBLICADO	Plano de Metas	finalizado		
Comércio	Tráfego Pago  como anuciar no Instagram e Facebook(20h) 	APERFEIÇOAMENTO	2025.000000708-36		Março	PUBLICADO	Plano de Metas	entregue		
Beleza e Cuidado Pessoal	Tranças	APERFEIÇOAMENTO	2025.000001008-41		Abril	PUBLICADO NO INTRANET/ESTÁ COMO RASCUNHO NO SIG	Comercial			
Design	Urban Jungle: Jardinagem para Interiores	APERFEIÇOAMENTO	2025.000000627-36		Fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	entregue/Retificativo do plano de metas		
Tecnologia e Games	UX/UI Design - Experiência do Usuário e Interfaces	APERFEIÇOAMENTO			Maio		Plano de Metas			
Ambiente e Saúde	Vendedor de Serviços e Produtos ópticos	QUALIFICAÇÃO	2025.000000531-50	127910	Março	PUBLICADO	Plano de Metas	Já precificado.		
Beleza e Cuidado Pessoal	Vivências Práticas em Salão de Beleza	APERFEIÇOAMENTO	2025.000000988-46	128552	Abril	PUBLICADO	Empresa Escola			
Tecnologia e Games	Web Designer	QUALIFICAÇÃO	em criação		Maio	CPED	Plano de Metas			
Ambiente e Saúde	Técnico em Radiologia		2025.000002254-65		Setembro	ARQUIVADO	Retificativo Plano de metas	/Retificativo do plano de metas		
Ambiente e Saúde	Técnico em Saúde Bucal		2025.000001645-71		Setembro	PUBLICADO	Retificativo Plano de metas			
Ambiente e Saúde	Auxiliar em Saúde Bucal	QUALIFICAÇÃO	2025.000002967-29		Março	CPED - Faltam assinaturas Parecer de Precificação e assinatura da Diretoria no Plano de Curso. 				
Ambiente e Saúde	Técnicas para copeiro hospitalar	APERFEIÇOAMENTO 	2025.000002994-00		Outubro	CPED - AJUSTES NA LISTA BÁSICA	NC			
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
