SEGMENTO	 	TIPO	NÚMERO SEI	CÓDIGO SIG	MÊS DE ENTREGA	STATUS	ORIGEM	OBSERVAÇÃO	STATUS	
Tecnologia e Games	ChatGPT na Prática	APERFEIÇOAMENTO	2025.000001177-35	128502	-	PUBLICADO	Retificativo Plano de metas		NC - para precificação.	
Tecnologia e Games	Cientista de Dados com Azure	APERFEIÇOAMENTO	2025.000000092-58		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO NA INTRANET/ESTÁ COMO RASCUNHO NO SIG	
Beleza e Cuidado Pessoal	Clareamento de virilhas e axilas	APERFEIÇOAMENTO	2025.000000502-15		Abril	CPED - Parecer falta assinatura da Mari/Plano de curso falta assinatura da Mari e Diretoria	Plano de Metas		PUBLICADO	
Gastronomia	Clássicos Franceses	APERFEIÇOAMENTO	2025.000000456-45		Janeiro	NUCOMP	Plano de Metas		CPED - NC encaminha para DIREG análise financeira e solicita revisão de lista básica. 	
Beleza e Cuidado Pessoal	Colorimetria: Criatividade na construção do design		2025.000000525-10		Junho	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	Finalizado	PUBLICADO	
Beleza e Cuidado Pessoal	Colorimetria para Maquiadores	APERFEIÇOAMENTO	2025.000000417-39		Abril	CPED - Ajuste lista básica	Plano de Metas		Foi encaminhado para DEP para assinatura com o Despacho. 	
Gastronomia	Comida Natalina	APERFEIÇOAMENTO	2024.000004880-41		Janeiro	PUBLICADO	Plano de Metas	Retificativo plano de metas	NC para Precificação/No Bloco de assinatura.	
Turismo	Concierge: o diferencial no atendimento ao cliente (30h) 	APERFEIÇOAMENTO	2025.000000838-14		Março	PUBLICADO	Plano de Metas	entregue em março/Retificativo do plano de metas	X	
Beleza e Cuidado Pessoal	Construção de Carreira para Profissionais da Beleza	APERFEIÇOAMENTO	2025.000000524-21		Maio	PUBLICADO	Plano de Metas	Finalizado	PUBLICADO	
Gastronomia	Coquetelaria Tiki	APERFEIÇOAMENTO	2025.000000686-96		Fevereiro	NUCOMP - análise para precificação	Plano de Metas	Retificativo plano de metas	No Blocos de assinatura Mari, DEP e DIREG.	
Gastronomia	Cortes de Carnes Argentinas	APERFEIÇOAMENTO	2025.000000428-91		Janeiro	PUBLICADO	Plano de Metas	Faltando Parecer de Preficificação CPED.	No Blocos de assinatura Mari, DEP e DIREG.	
Gastronomia	Cozinha Argentina	APERFEIÇOAMENTO	2025.000000418-10		Janeiro	PUBLICADO	Plano de Metas	CPED, para resolver inconsistência na quantidade desejada.	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Cozinha Internacional	APERFEIÇOAMENTO	2025.000000981-70		Fevereiro	Falta assinatura da Mari no Parecer/Assinatura da DIREG no Plano de Curso	Plano de Metas	Em Processo de Elaboração/Retificativo plano de metas	PUBLICADO	
Gastronomia	Cozinha Italiana 	APERFEIÇOAMENTO	 	 	Fevereiro	X	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E NO SIG COMO RASCUNHO	
Gastronomia	Cozinha Japonesa	APERFEIÇOAMENTO	2025.000000440-88		Janeiro	PUBLICADO	Plano de Metas	"Retificativo plano de metas / 
Faltando Parecer de Preficificação CPED."	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Cozinha Mediterrânea	APERFEIÇOAMENTO	2025.000001133-14		Fevereiro	Falta assinatura da DIREG no Plano de Curso	Plano de Metas	Em Processo de Elaboração	CPED - Falta Parecer de Precificação e atualização de assinaturas nos Planos de Curso. Verificar com a Mari a necessidade reenserir o Plano de Curso para todos assinarem novamente. 	
Gastronomia	Cozinha Portuguesa	APERFEIÇOAMENTO	2025.000000441-69		Janeiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	Retificativo plano de metas	PUBLICADO	
Tecnologia e Games	Criação de Cenário para Jogos 2D	APERFEIÇOAMENTO	2025.000000084-48		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		CPED para validação de avaliação pelo NUCOMP.	
Moda e Costura	Criação e Desenvolvimento de Figurino	QUALIFICAÇÃO	2025.000000409-29		Fevereiro	PUBLICADO	Plano de Metas	Previsto Abril, entregue Fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Tecnologia e Games	Criação e Publicação de Games	APERFEIÇOAMENTO	2025.000000069-17		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E NO SIG COMO RASCUNHO	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Tecnologia e Games	Criando seu Primeiro Game	APERFEIÇOAMENTO	2025.000000064-02		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Ambiente e Saúde	Cuidador Infantil	QUALIFICAÇÃO	2025.000000846-24		Março	CPED - Falta assinatura da Mari no Parecer de Precificação e atualização de assinaturas nos Planos de Curso. Verificar com a Mari a necessidade reenserir o Plano de Curso para todos assinarem novamente. 	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Culinária Light e diet	APERFEIÇOAMENTO	2025.000000552-84		Fevereiro	PUBLICADO	Plano de Metas	Retificativo plano de metas	No Blocos de assinatura Mari, DEP e DIREG.	
