DIRETORIA DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - DEP 																		
COORDENAÇÃO PEDAGÓGICA - CPED																		
PORTFÓLIO 2025																		
PORTFÓLIO  DE CURSOS SENAC DF: GASTRONOMIA																		
"Status SIG
(Ativo ou Inativo)"	Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Valores 	Observações de Conferência	UNIDADE QUE PODE SER RODADO	Compatível com bolsa	Comercial*	PCN	PCR	
ATIVO	Gastronomia	FIC	Padaria Artesanal 	16h	243.24	110701	2025	Aperfeiçoamento 	2025	2025.000002111-62	2026 | R$ 437,00	PROCESSO NA CPED/FALTAM ASSINATURAS DA DIRETORIA NO PLANO DE CURSO (JÁ PRECIFICADO)						
ATIVO	Gastronomia	FIC	Preparo de Drinks com Café 	40	2.079.254	130275	2025	Aperfeiçoamento 	2025	2025.000000908-61	2025 | R$ 620,00	"FALTA ASSINATURA NO PARECER (INSTRUTOR)/
PROCESSO SEM ANDAMENTO ABERTO"						
ATIVO	GASTRONOMIA	FIC	Padeiro 	260	2587	69994	2019	QUALIFICAÇÃO PROFISSIONAL	2025	2023.000001920-11	2025 | R$ 3.175,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Pizzaiolo	160	2443	69851	2018	QUALIFICAÇÃO PROFISSIONAL	2025	2023.000001916-27	2025 | R$ 1.680,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Práticas Operacionais em Cafeteria	240	2537.4	113914	2024	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2024.000001392-09	2025 | R$ 3.900,83	"INFRAESTRUTURA CASA DE CHÁ
OK"		SIM	NÃO  			
ATIVO	GASTRONOMIA	FIC	Práticas Operacionais em Cozinha	240	2.079.136	 114427	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2023.000001393-82	2025 | R$ 4.455,00	"INFRAESTRUTURA DN    
OK"		SIM	NÃO  			
ATIVO	GASTRONOMIA	FIC	Práticas Operacionais - Nutrição e Dietética	360	908.65	123486	2024	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2024.000002729-79	2025 | R$ 3.803,00	"INFRAESTRUTURA DN    
OK"		SIM	NÃO  			
INATIVO 	GASTRONOMIA	FIC	Práticas Operacionais em Serviços - Restaurante Escola	240	2083.90	114429	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2024	2023.000001391-11	2024 | R$ 2.859,29	"INFRAESTRUTURA DN    
PRECIFICAÇÃO ANTIGA/
PROCESSO NA INST"		SIM	NÃO  			
INATIVO 	GASTRONOMIA	FIC	Práticas Operacionais em Confeitaria 	40	2.079.137	106085	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2024	2023.000001396-25	2023 | R$ 1.112,00	"PRECIFICAÇÃO ANTIGA/
PROCESSO NA INST"		SIM	NÃO			
ATIVO	GASTRONOMIA	FIC	Preparo de alimentos congelados 	36	2313.29	34233	2019	APERFEIÇOAMENTO/ATUALIZAÇÃO	2024	2023.000002122-17	2024 | R$ 322,00	"PRECIFICAÇÃO ANTIGA/
PROCESSO NA INST"		SIM	SIM			
