DIRETORIA DE EDUCAÇÃO PROFISSIONAL - DEP 																
COORDENAÇÃO PEDAGÓGICA - CPED																
PORTFÓLIO 2025																
PORTFÓLIO  DE CURSOS SENAC DF: GESTÃO E NEGÓCIO																
Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Observações/Orientações	Valor	Unidade que pode ser rodado	Compatível com bolsa	Comercial*	PCN	PCR	
Gestão e Negócio	FIC	Formação em Departamento Pessoal	160	132198	2023	Programas Instrumentais	2025	2024.000005490-16	OK	2025 | R$ 800,00						
Gestão e Negócio	FIC	Libras 	160	124928	2024	Programas Instrumentais	2025	2024.000005300-05	OK	2025 | R$ 960,00						
Gestão e Negócio	Qualificação Profissional	Recepcionista	160	121868	2014	Qualificação Profissional	2025	2024.000004678-00	OK	2025 | R$ 742,00						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Administração 	800	122329	2024	Habilitação Técnica	2025	2023.000001107-24	OK	2025 | R$ 3.850,00						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Administração SEEDF	800	122328	2022	Habilitação Técnica	2025	2023.000001940-57	Não está disponivel para web - SIG	2025 | R$ 4.419,99						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Contabilidade	800	136974	2024	Habilitação Técnica	2025	2023.000001151-06	OK	2025 | R$ 4.770,00						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Contabilidade SEEDF	800		2024	Habilitação Técnica	2025	2024.000004724-71	Não está disponivel para web - SIG	2025 | R$ 4.437,00						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Finanças 	800	137335	2018	Habilitação Técnica	2025	2023.000001967-77	OK	2025 | R$ 3.675,00						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Finanças  SEEDF	800	122336	2017	Habilitação Técnica	2025	2024.000005195-32	Não está disponivel para web - SIG	2025 | R$ 3.710,00						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Logística	800	121951	2024	Habilitação Técnica	2025	2023.000001173-11	OK	2025 | R$ 3.745,00						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Logística SEEDF	800			Habilitação Técnica		2024.000005206-20								
Gestão e Negócio	Técnico de Nível Médio	Técnico em Marketing	800	137354	2018	Habilitação Técnica	2025	2024.000005475-87	OK	2025 | R$ 4.220,00						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Marketing SEEDF	800	122340	2018	Habilitação Técnica	2025	2024.000005148-16	Não está disponivel para web - SIG	2025 | R$ 4.245,00						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Recursos Humanos	800	121896	2024	Habilitação Técnica	2025	2023.000001167-65	OK	2025 | R$ 4,279,99						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Recursos Humanos SEEDF	800	111490	2024	Habilitação Técnica	2024	2024.000004730-10	Não está disponivel para web - SIG	2025 | R$ 4.279,99						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Secretariado 	800	137343	2018	Habilitação Técnica	2025	2023.000001174-94	OK	2025 | R$ 3.945,99						
Gestão e Negócio	Técnico de Nível Médio	Técnico em Secretariado SEEDF	800	122362	2018	Habilitação Técnica	2025	2024.000004731-09	não está disponivel para web - SIG	2025 | R$ 3.560,00						
Gestão e Negócio		Técnico em Transações imobiliárias 	800			Habilitação Técnica		2024.000005092-27								
Gestão e Negócio		Técnico em Qualidade 	800					2024.000005489-82								
Gestão e Negócio	Aprendizagem Profissional 	Aprendizagem Profissional de Qualificação em Serviços Administrativos 	1920	115585	2024	Aprendizagem Profissional	2025	2023.000001142-15	OK	2025 | R$ 3.222,00						
Gestão e Negócio	Aprendizagem Profissional 	Aprendizagem Profissional Técnica em Administração 	2000	132242	2024	Aprendizagem Profissional	2025	2025.000001365-27	Não está disponivel para web - SIG	2025 | R$ 9.009,00						
educacional		Inclusão de Pessoas com Deficiência: Planejamento e Prática	36		2024			2024.000001885-95								
educacional		Ferramentas de Inovação e Modelos de Negócios para Empresários e Gestores - 60 horas - Aperfeiçoamento - 2025			2025											
Comércio	FIC	A Arte de se Comunicar e de Vender Mais 	30	2326.1	2018	Aperfeiçoamento	2023	2023.000000279-16	Precificação antiga	2023 / 2024 | R$ 163,30		SIM		SIM	Não	
Comércio	FIC	Abordagem para o Influenciador Digital 	24	2353.1	2022	Aperfeiçoamento	2023	2023.000001219-21	Precificação antiga	2023 | R$ 212,00		SIM		SIM	Não	
